"BehaviorSpace results (NetLogo 6.2.2)"
"escenarios.nlogo"
"experiment_1"
"06/24/2022 17:21:39:166 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pasosmax","angulomax","[step]","restoverde","restoalimento","tiempo"
"314","1","90","28","46","121","28"
"310","1","90","26","36","80","26"
"312","1","90","34","38","97","34"
"315","1","90","30","33","82","30"
"313","1","90","38","50","124","38"
"316","1","90","30","44","126","30"
"317","1","90","30","32","79","30"
"318","1","90","32","46","123","32"
"322","1","90","24","39","107","24"
"319","1","90","28","32","79","28"
"323","1","90","28","53","135","28"
"321","1","90","38","40","85","38"
"320","1","90","26","42","115","26"
"324","1","90","30","46","115","30"
"325","1","90","28","38","102","28"
"327","1","90","28","35","108","28"
"329","1","90","28","42","108","28"
"328","1","90","26","37","102","26"
"326","1","90","26","39","110","26"
"330","1","90","32","39","92","32"
"332","1","90","28","38","114","28"
"333","1","90","34","36","96","34"
"331","1","90","30","30","74","30"
"334","1","90","28","36","89","28"
"335","1","90","30","42","104","30"
"337","1","90","30","44","104","30"
"336","1","90","38","38","93","38"
"338","1","90","34","52","132","34"
"339","1","90","28","39","91","28"
"341","1","90","28","38","87","28"
"342","1","90","26","47","117","26"
"340","1","90","42","33","76","42"
"343","1","90","32","34","78","32"
"344","1","90","28","42","100","28"
"345","1","90","28","34","80","28"
"346","1","90","28","46","101","28"
"347","1","90","28","38","104","28"
"349","1","90","26","30","99","26"
"351","1","90","26","35","115","26"
"350","1","90","26","42","104","26"
"348","1","90","34","41","93","34"
"352","1","90","28","38","89","28"
"353","1","90","32","32","79","32"
"354","1","90","36","41","106","36"
"355","1","90","26","45","129","26"
"356","1","90","32","36","78","32"
"357","1","90","28","38","94","28"
"358","1","90","28","47","108","28"
"361","1","90","26","35","90","26"
"359","1","90","30","34","87","30"
"360","1","90","30","40","108","30"
"362","1","90","28","40","89","28"
"363","1","90","34","40","107","34"
"364","1","90","30","41","111","30"
"365","1","90","30","42","115","30"
"366","1","90","30","37","90","30"
"367","1","90","28","36","73","28"
"369","1","90","30","45","107","30"
"370","1","90","32","29","65","32"
"371","1","90","28","48","132","28"
"372","1","90","32","25","58","32"
"373","1","90","28","41","86","28"
"375","1","90","32","45","102","32"
"374","1","90","32","42","100","32"
"368","1","90","28","34","72","28"
"377","1","90","32","53","146","32"
"376","1","90","34","41","103","34"
"378","1","90","26","39","115","26"
"379","1","90","30","36","75","30"
"380","1","90","28","34","82","28"
"381","1","90","36","36","88","36"
"382","1","90","24","39","99","24"
"383","1","90","30","31","88","30"
"384","1","90","26","39","98","26"
"385","1","90","30","39","100","30"
"386","1","90","36","43","117","36"
"388","1","90","30","44","130","30"
"387","1","90","30","36","111","30"
"389","1","90","30","44","115","30"
"390","1","90","28","37","85","28"
"391","1","90","28","40","99","28"
"392","1","90","32","43","129","32"
"393","1","90","30","41","93","30"
"396","1","90","26","43","114","26"
"397","1","90","26","40","89","26"
"395","1","90","30","46","116","30"
"394","1","90","30","47","117","30"
"398","1","90","26","41","126","26"
"399","1","90","30","38","117","30"
"400","1","90","26","30","63","26"
"401","1","90","28","44","101","28"
"402","1","90","28","47","137","28"
"403","1","90","28","49","123","28"
"404","1","90","30","36","91","30"
"405","1","90","30","42","112","30"
"406","1","90","32","38","108","32"
"408","1","90","30","35","103","30"
"409","1","90","28","38","100","28"
"412","1","90","24","41","97","24"
"410","1","90","30","34","78","30"
"411","1","90","34","40","94","34"
"407","1","90","28","36","75","28"
"413","1","90","34","38","95","34"
"414","1","90","32","41","105","32"
"415","1","90","34","35","79","34"
"417","1","90","30","41","113","30"
"418","1","90","28","36","105","28"
"416","1","90","36","46","128","36"
"419","1","90","30","44","111","30"
"421","1","90","30","38","101","30"
"420","1","90","28","38","91","28"
"422","1","90","28","43","93","28"
"423","1","90","26","34","66","26"
"425","1","90","32","44","116","32"
"424","1","90","32","41","107","32"
"427","1","90","28","31","75","28"
"426","1","90","32","39","110","32"
"429","1","90","28","39","114","28"
"428","1","90","30","43","110","30"
"430","1","90","28","30","74","28"
"431","1","90","26","32","73","26"
"432","1","90","28","43","100","28"
"435","1","90","28","50","130","28"
"433","1","90","34","37","89","34"
"434","1","90","28","34","101","28"
"437","1","90","28","42","97","28"
"438","1","90","26","32","74","26"
"440","1","90","28","34","100","28"
"439","1","90","28","48","118","28"
"442","1","90","30","32","77","30"
"436","1","90","32","39","101","32"
"443","1","90","32","40","95","32"
"441","1","90","28","37","96","28"
"444","1","90","28","37","101","28"
"445","1","90","28","41","96","28"
"447","1","90","30","40","94","30"
"448","1","90","34","53","120","34"
"450","1","90","28","32","89","28"
"449","1","90","34","37","94","34"
"446","1","90","26","45","137","26"
"451","1","90","26","31","80","26"
"452","1","90","36","37","82","36"
"453","1","90","28","43","108","28"
"455","1","90","34","47","120","34"
"454","1","90","36","32","67","36"
"456","1","90","32","39","90","32"
"458","1","90","34","37","100","34"
"457","1","90","32","36","79","32"
"459","1","90","32","35","105","32"
"460","1","90","28","44","119","28"
"461","1","90","30","43","112","30"
"463","1","90","26","40","113","26"
"462","1","90","34","34","75","34"
"465","1","90","28","38","98","28"
"464","1","90","36","43","102","36"
"466","1","90","34","37","89","34"
"467","1","90","28","37","108","28"
"468","1","90","26","42","118","26"
"469","1","90","26","43","106","26"
"470","1","90","30","28","61","30"
"472","1","90","38","47","127","38"
"473","1","90","28","47","112","28"
"471","1","90","28","40","107","28"
"474","1","90","28","46","135","28"
"475","1","90","26","49","136","26"
"476","1","90","32","40","107","32"
"477","1","90","28","42","107","28"
"479","1","90","28","46","114","28"
"481","1","90","26","40","91","26"
"478","1","90","30","41","106","30"
"480","1","90","34","28","69","34"
"483","1","90","26","49","117","26"
"482","1","90","38","36","102","38"
"485","1","90","26","42","97","26"
"484","1","90","32","38","95","32"
"486","1","90","30","44","133","30"
"489","1","90","28","41","103","28"
"487","1","90","26","33","90","26"
"488","1","90","30","51","150","30"
"490","1","90","34","31","89","34"
"491","1","90","30","23","46","30"
